Post,Count,First Year Used,Last Year Used,category,is_senior,match_rule,reason
"Parliamentary Under-Secretary (Department for Business, Innovation and Skills) (Employment Relations, Consumer and Postal Affairs)",5,2010,2014,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department of Environment) (Sport),6,1970,1990,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Ministry of Agriculture, Fisheries and Food)",6,1979,1989,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department for Constitutional Affairs),6,2003,2006,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Secretary (Ministry of Transport),7,1947,1979,non_senior,False,regex:\bparliamentary secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Secretary (Ministry of Agriculture, Fisheries and Food)",7,1972,1997,non_senior,False,regex:\bparliamentary secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department of Trade),7,1974,1997,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Captain of the Queen's Bodyguard of the Yeomen of the Guard (HM Household) (Deputy Chief Whip, House of Lords)",7,1995,2016,non_senior,False,regex:\bwhip\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Ministry of Defence) (Army),8,1965,1981,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Environment, Transport and the Regions)",8,1997,2001,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department for Communities and Local Government) (Planning),8,2006,2012,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Comptroller (HM Household) (Whip, House of Commons)",8,2015,2024,non_senior,False,regex:\bwhip\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department for Exiting the European Union),8,2016,2019,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department for International Trade),8,2016,2022,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Culture, Media and Sport)",9,2010,2017,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Ministry of Defence) (Procurement),10,1981,2007,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Secretary to the Treasury and Chief Whip,10,2008,2022,non_senior,False,regex:\bparliamentary secretary\b,Matches a junior/whip/non-senior pattern.
Deputy Chief Whip and Treasurer,11,1955,1997,non_senior,False,regex:\bwhip\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department for Education and Employment),11,1995,1999,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Comptroller (HM Household) (Deputy Chief Whip, House of Commons)",12,1979,2016,non_senior,False,regex:\bwhip\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Housing, Communities and Local Government)",12,2018,2024,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department of Industry),13,1970,1982,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Scotland Office),13,2002,2022,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Foreign, Commonwealth and Development Office)",13,2020,2025,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department of Health and Social Security),14,1970,1986,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Digital, Culture, Media and Sport)",14,2017,2022,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Welsh Office),15,1966,1998,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department of Social Security),15,1988,1999,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Treasurer of HM Household (Deputy Chief Whip, House of Commons)",15,2007,2024,non_senior,False,regex:\bwhip\b,Matches a junior/whip/non-senior pattern.
"Captain of the Honourable Corps of Gentlemen-at-Arms (HM Household) (Chief Whip, House of Lords)",16,1958,2024,non_senior,False,regex:\bwhip\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department of Energy),16,1974,1990,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department for International Development),16,1997,2019,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department for Communities and Local Government),16,2006,2017,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department of Health and Social Care),16,2018,2024,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Business, Energy and Industrial Strategy)",19,2016,2022,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Parliamentary Under-Secretary (Department for Environment, Food and Rural Affairs)",21,2001,2024,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Secretary to the Treasury (Chief Whip),22,1955,2025,non_senior,False,regex:\bparliamentary secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department of Education and Science),22,1969,1993,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department of Trade and Industry),22,1970,1999,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Wales Office),22,1997,2025,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Ministry of Defence),23,1971,2024,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Government Whip, Lord Commissioner of HM Treasury",23,2020,2025,non_senior,False,regex:\bwhip\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department of Employment),25,1970,1994,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
"Vice Chamberlain (HM Household) (Whip, House of Commons)",26,1981,2025,non_senior,False,regex:\bwhip\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department for Education),26,1992,2024,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Baroness in Waiting (HM Household) (Whip),26,2002,2024,non_senior,False,regex:\bwhip\b,Matches a junior/whip/non-senior pattern.
Parliamentary Secretary (Cabinet Office),27,1994,2024,non_senior,False,regex:\bparliamentary secretary\b,Matches a junior/whip/non-senior pattern.
Lord in Waiting (HM Household) (Whip),29,1988,2025,non_senior,False,regex:\bwhip\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Ministry of Justice),29,2007,2024,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Scottish Office),31,1959,1997,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department of Environment),32,1970,1997,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Foreign and Commonwealth Office),33,1968,2020,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department of Health),34,1984,2017,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department for Work and Pensions),36,2001,2024,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Northern Ireland Office),42,1972,2024,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Home Office),43,1961,2024,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Assistant Whip,49,2018,2024,non_senior,False,regex:\bassistant whip\b,Matches a junior/whip/non-senior pattern.
Parliamentary Under-Secretary (Department for Transport),51,1976,2025,non_senior,False,regex:\bparliamentary under-?secretary\b,Matches a junior/whip/non-senior pattern.
Lord Commissioner (HM Treasury) (Whip),167,1951,2022,non_senior,False,regex:\bwhip\b,Matches a junior/whip/non-senior pattern.
Assistant Whip (HM Treasury),233,1951,2018,non_senior,False,regex:\bassistant whip\b,Matches a junior/whip/non-senior pattern.
Secretary of State for Commonwealth Relations,1,1964,1964,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Secretary of State for Land and Natural Resources,1,1964,1964,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Secretary of State for Economic Affairs,1,1967,1967,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Minister of State (Office of the Secretary of State for Local Government and Regional Planning),1,1969,1969,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Minister without Portfolio and Deputy Leader of the House of Commons,1,1969,1969,senior,True,contains:minister without portfolio,Senior Cabinet post.
Secretary of State for Technology,1,1970,1970,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Secretary of State for Overseas Development,1,1975,1975,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Secretary of State for Social Services,1,1976,1976,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
"Leader of the House of Commons, Minister for the Arts and Chancellor of the Duchy of Lancaster",1,1979,1979,senior,True,contains:chancellor of the duchy of lancaster,Senior Cabinet post.
Lord Privy Seal and Deputy Foreign Secretary,1,1979,1979,senior,True,contains:lord privy seal,Senior Cabinet post (historically).
Leader of the House of Commons,1,1982,1982,senior,True,contains:leader of the house of commons,Senior Cabinet post.
Lord Privy Seal (Privy Council Office),1,1983,1983,senior,True,contains:lord privy seal,Senior Cabinet post (historically).
Lord Privy Seal and Leader of the House of Commons,1,1987,1987,senior,True,contains:lord privy seal,Senior Cabinet post (historically).
Chancellor of the Duchy of Lancaster and Minister (Trade),1,1988,1988,senior,True,contains:chancellor of the duchy of lancaster,Senior Cabinet post.
Chancellor of the Duchy of Lancaster and Minister (Public Service & Science),1,1994,1994,senior,True,contains:chancellor of the duchy of lancaster,Senior Cabinet post.
Chancellor of the Duchy of Lancaster and Minister (Public Service),1,1995,1995,senior,True,contains:chancellor of the duchy of lancaster,Senior Cabinet post.
First Secretary of State and Deputy Prime Minister,1,1995,1995,senior,True,contains:prime minister,Prime Minister is senior Cabinet by definition.
Parliamentary Under Secretary of State (Department of National Heritage) (Broadcasting and Tourism),1,1995,1995,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
"Deputy Prime Minister and Secretary of State for Environment, Transport and the Regions",1,1997,1997,senior,True,contains:prime minister,Prime Minister is senior Cabinet by definition.
Secretary of State for Social Security and Minister for Women,1,1997,1997,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Chancellor of the Duchy of Lancaster and Minister (Cabinet Office),1,1998,1998,senior,True,contains:chancellor of the duchy of lancaster,Senior Cabinet post.
Minister of State (Lord Chancellor's Department),1,1998,1998,senior,True,contains:lord chancellor,Lord Chancellor is senior Cabinet.
Minister for Trade and Investment and Deputy Leader of the House of Lords (also Department of Trade and Industry),1,2001,2001,senior,True,contains:leader of the house of lords,Senior Cabinet post.
Minister of State (Trade and Investment) Deputy Leader of the House of Lords (also FCO),1,2001,2001,senior,True,contains:leader of the house of lords,Senior Cabinet post.
Secretary of State for Trade and Industry and Minister for Women and e-Minister in Cabinet,1,2001,2001,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
"Secretary of State for Transport, Local Government and Regions",1,2001,2001,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Deputy Prime Minister and Secretary of State for Local Government and the Regions,1,2002,2002,senior,True,contains:prime minister,Prime Minister is senior Cabinet by definition.
Minister (Office of the Deputy Prime Minister) (Housing & Planning),1,2002,2002,senior,True,contains:prime minister,Prime Minister is senior Cabinet by definition.
Minister (Office of the Deputy Prime Minister) (Social Exclusion and Deputy Minister for Women),1,2002,2002,senior,True,contains:prime minister,Prime Minister is senior Cabinet by definition.
Minister of State (Office of the Deputy Prime Minister) (Local and Regional Government),1,2002,2002,senior,True,contains:prime minister,Prime Minister is senior Cabinet by definition.
Minister without Portfolio and Labour Party Chair,1,2002,2002,senior,True,contains:minister without portfolio,Senior Cabinet post.
Deputy Leader of the House of Commons (Privy Council Office),1,2003,2003,senior,True,contains:leader of the house of commons,Senior Cabinet post.
Minister (Office of the Deputy Prime Minister) (Regeneration and Regional Development),1,2003,2003,senior,True,contains:prime minister,Prime Minister is senior Cabinet by definition.
Minister of State (Cabinet Office) and Chancellor of the Duchy of Lancaster,1,2003,2003,senior,True,contains:chancellor of the duchy of lancaster,Senior Cabinet post.
Parliamentary Under-Secretary (Office of the Deputy Prime Minister) (Local and Regional Government),1,2003,2003,senior,True,contains:prime minister,Prime Minister is senior Cabinet by definition.
Parliamentary Under-Secretary (Office of the Deputy Prime Minister) (Regeneration and Regional Developement),1,2003,2003,senior,True,contains:prime minister,Prime Minister is senior Cabinet by definition.
Secretary of State for Constitutional Affairs and Lord Chancellor,1,2003,2003,senior,True,contains:lord chancellor,Lord Chancellor is senior Cabinet.
Chancellor of the Duchy of Lancaster (Cabinet Office),1,2005,2005,senior,True,contains:chancellor of the duchy of lancaster,Senior Cabinet post.
Minister (Office of the Deputy Prime Minister) (Communities and Local Government),1,2005,2005,senior,True,contains:prime minister,Prime Minister is senior Cabinet by definition.
Minister (Office of the Deputy Prime Minister) (London),1,2005,2005,senior,True,contains:prime minister,Prime Minister is senior Cabinet by definition.
Minister of State (Office of the Deputy Prime Minister) (Local Government),1,2005,2005,senior,True,contains:prime minister,Prime Minister is senior Cabinet by definition.
Minister (Cabinet Office) and Minister (Social Exclusion) and Chancellor of the Duchy of Lancaster,1,2006,2006,senior,True,contains:chancellor of the duchy of lancaster,Senior Cabinet post.
Minister without Portfolio (Cabinet Office) and Labour Party Chair,1,2006,2006,senior,True,contains:minister without portfolio,Senior Cabinet post.
Secretary of State for Communities and Local Government (and Women and Equalities),1,2006,2006,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Minister (Cabinet Office) and Chancellor of the Duchy of Lancaster,1,2007,2007,senior,True,contains:chancellor of the duchy of lancaster,Senior Cabinet post.
Prime Minister's Special Representative to Cyprus,1,2007,2007,senior,True,contains:prime minister,Prime Minister is senior Cabinet by definition.
"Secretary of State for Children, Schools and Families",1,2007,2007,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
"Secretary of State for Innovation, Universities and Skills",1,2007,2007,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
"Parliamentary Under-Secretary of State (Department for Business, Innovation and Skills) (Postal Affairs and Employment Relations) (also Lord in Waiting)",1,2009,2009,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
First Secretary of State and Leader of the House of Commons,1,2014,2014,senior,True,contains:leader of the house of commons,Senior Cabinet post.
Minister for Government Policy and Chancellor of the Duchy of Lancaster,1,2014,2014,senior,True,contains:chancellor of the duchy of lancaster,Senior Cabinet post.
Parliamentary Under-Secretary of State (Department for Education) (Women and Equalities),1,2014,2014,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Chancellor of the Exchequer and First Secretary of State,1,2015,2015,senior,True,contains:chancellor of the exchequer,Chancellor is senior Cabinet.
Parliamentary Under-Secretary of State (Department for Communities and Local Government) (Northern Powerhouse),1,2015,2015,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Parliamentary Under-Secretary of State (Department for Work and Pensions) (Disabled People),1,2015,2015,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
First Secretary of State and Minister for the Cabinet Office,1,2017,2017,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Parliamentary Under Secretary of State (Ministry of Justice) (and Assistant Government Whip),1,2021,2021,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Parliamentary Secretary (Minister for Policy and Head of the Prime Minister’s Policy Unit),1,2022,2022,senior,True,contains:prime minister,Prime Minister is senior Cabinet by definition.
Minister on Leave (Secretary of State),1,2023,2023,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Parliamentary Under Secretary of State (Department for Business and Trade) (Minister for Equalities),1,2023,2023,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Parliamentary Under Secretary of State (Department for Business and Trade) (Minister for Women),1,2023,2023,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Secretary of State in the Cabinet Office,1,2023,2023,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Prime Minister and First Lord of the Treasury,1,2024,2024,senior,True,contains:prime minister,Prime Minister is senior Cabinet by definition.
Minister of State (Chief Secretary to the Prime Minister),1,2025,2025,senior,True,contains:prime minister,Prime Minister is senior Cabinet by definition.
Lord Privy Seal,2,1960,1981,senior,True,contains:lord privy seal,Senior Cabinet post (historically).
Secretary of State for the Air Ministry,2,1960,1962,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Secretary of State for Public Building and Works,2,1962,1969,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Secretary of State for Prices and Consumer Protection,2,1974,1976,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Lord Chancellor,2,1987,1997,senior,True,contains:lord chancellor,Lord Chancellor is senior Cabinet.
Secretary of State for Education and Employment,2,1995,1997,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Deputy Prime Minister and First Secretary of State,2,2001,2006,senior,True,contains:prime minister,Prime Minister is senior Cabinet by definition.
Minister of State (Office of the Deputy Prime Minister) (Housing and Planning),2,2003,2005,senior,True,contains:prime minister,Prime Minister is senior Cabinet by definition.
Leader of the House of Lords and Lord President of the Council (Privy Council Office),2,2007,2008,senior,True,contains:lord president of the council,Senior Cabinet post.
"Secretary of State for Business, Enterprise and Regulatory Reform",2,2007,2008,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Lord Commissioner (HM Treasury) (Whip) (Jointly as unpaid Parliamentary Under Secretary of State at the Wales Office),2,2012,2022,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
"Parliamentary Under-Secretary of State (Culture, Media and Sport) (Women and Equalities) (jointly with the Department for Business, Innovation and Skills)",2,2012,2013,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Parliamentary Under-Secretary of State (jointly with the Ministry of Defence),2,2019,2021,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Minister of State (Cabinet Office) (Minister without Portfolio),2,2021,2022,senior,True,contains:minister without portfolio,Senior Cabinet post.
"Parliamentary Under Secretary of State (Foreign, Commonwealth and Development Office) (Minister for Equalities)",2,2021,2022,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
"Parliamentary Under Secretary of State (Department for Culture, Media and Sport)",2,2023,2024,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Parliamentary Under-Secretary of State (Department for Education) (Equalities),2,2024,2024,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Secretary of State for Trade and Industry,3,1972,2006,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Lord President of the Council (Privy Council Office),3,1982,2010,senior,True,contains:lord president of the council,Senior Cabinet post.
Parliamentary Under-Secretary (Lord Chancellor's Department),3,1995,1999,senior,True,contains:lord chancellor,Lord Chancellor is senior Cabinet.
Parliamentary Under-Secretary (Office of the Deputy Prime Minister),3,2002,2005,senior,True,contains:prime minister,Prime Minister is senior Cabinet by definition.
Minister for the Cabinet Office and Chancellor of the Duchy of Lancaster,3,2008,2021,senior,True,contains:chancellor of the duchy of lancaster,Senior Cabinet post.
Leader of the House of Lords and Chancellor of the Duchy of Lancaster,3,2009,2013,senior,True,contains:chancellor of the duchy of lancaster,Senior Cabinet post.
Foreign Secretary and First Secretary of State,3,2010,2020,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Secretary of State for Foreign and Commonwealth Affairs,3,2014,2018,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Secretary of State for Exiting the European Union,3,2016,2018,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
"Prime Minister, First Lord of the Treasury, Minister for the Civil Service, and Minister for the Union",3,2019,2022,senior,True,contains:prime minister,Prime Minister is senior Cabinet by definition.
Secretary of State for Business and Trade,3,2023,2025,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Secretary of State for Energy Security and Net Zero,3,2023,2024,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Lord President of the Council and Leader of the House Lords (Privy Council Office),4,1970,1981,senior,True,contains:lord president of the council,Senior Cabinet post.
Secretary of State for Health and Social Security,4,1970,1987,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Secretary of State for Industry,4,1974,1981,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
"Deputy Prime Minister, Lord President of the Council (Cabinet Office) (with Special Responsibility for Political and Constitutional Reform)",4,1979,2010,senior,True,contains:prime minister,Prime Minister is senior Cabinet by definition.
Lord President of the Council and Leader of the House of Lords (Privy Council Office),4,1983,2003,senior,True,contains:lord president of the council,Senior Cabinet post.
Secretary of State for Social Security,4,1988,1998,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Minister without Portfolio,4,1994,2001,senior,True,contains:minister without portfolio,Senior Cabinet post.
"Secretary of State for Business, Innovation and Skills",4,1997,2015,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Secretary of State for Education and Skills,4,2001,2006,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Secretary of State for Energy and Climate Change,4,2008,2015,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Parliamentary Secretary and Deputy Leader of the House of Commons,4,2009,2015,senior,True,contains:leader of the house of commons,Senior Cabinet post.
Secretary of State for International Trade and President of the Board of Trade,4,2016,2022,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Parliamentary Under Secretary of State (Ministry of Justice) (jointly with Home Office),4,2021,2023,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Parliamentary Under Secretary of State (Department for Business and Trade),4,2023,2024,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Parliamentary Under Secretary of State (Department for Energy Security and Net Zero),4,2023,2024,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
"Parliamentary Under Secretary of State (Department for Science, Innovation and Technology)",4,2023,2024,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Secretary of State for National Heritage,5,1992,1997,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Secretary of State for Communities and Local Government,5,2007,2016,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
"Secretary of State for Levelling Up, Housing and Communities",5,2021,2024,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
"Secretary of State for Science, Innovation and Technology",5,2023,2025,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Secretary of State for Scottish Office,6,1976,1997,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Leader of the House of Lords and Lord Privy Seal,6,1997,2024,senior,True,contains:lord privy seal,Senior Cabinet post (historically).
Leader of the House of Commons and Lord Privy Seal,6,2003,2012,senior,True,contains:lord privy seal,Senior Cabinet post (historically).
"Secretary of State for Business, Energy and Industrial Strategy",6,2016,2022,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Deputy Prime Minister,6,2021,2025,senior,True,contains:prime minister,Prime Minister is senior Cabinet by definition.
Secretary of State for Energy,7,1974,1989,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
"Secretary of State for Digital, Culture, Media and Sport",7,2017,2022,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
"Secretary of State for Housing, Communities and Local Government",7,2018,2025,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Deputy Leader of the House of Commons,8,1968,2022,senior,True,contains:leader of the house of commons,Senior Cabinet post.
"Secretary of State for Agriculture, Fisheries and Food",8,1970,1995,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Lord President of the Council and Leader of the House of Commons (Privy Council Office),8,1976,2003,senior,True,contains:lord president of the council,Senior Cabinet post.
Parliamentary Secretary (Lord Chancellor's Department),8,1992,2002,senior,True,contains:lord chancellor,Lord Chancellor is senior Cabinet.
Secretary of State for Health and Social Care,8,2018,2024,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
"Prime Minister, First Lord of the Treasury and Minister for the Civil Service",10,1964,2016,senior,True,contains:prime minister,Prime Minister is senior Cabinet by definition.
Lord President of the Council and Leader of the House of Commons,10,1988,2025,senior,True,contains:lord president of the council,Senior Cabinet post.
"Parliamentary Under Secretary of State (Department for Levelling Up, Housing and Communities)",10,2021,2023,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Secretary of State for Education and Science,11,1970,1994,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Secretary of State for International Development,11,1997,2020,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Secretary of State for Education,11,2010,2024,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Secretary of State for Environment,12,1970,1993,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Secretary of State for Trade,12,1974,1998,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Secretary of State for Health,12,1988,2012,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
"Secretary of State for Culture, Media and Sport",12,1997,2024,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Secretary of State for Scotland,12,1999,2024,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Lord Privy Seal and Leader of the House of Lords,13,1964,2001,senior,True,contains:lord privy seal,Senior Cabinet post (historically).
Secretary of State for Employment,13,1972,1994,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
"Secretary of State for Environment, Food and Rural Affairs",14,2001,2024,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Lord Chancellor and Secretary of State for Justice,15,2007,2025,senior,True,contains:lord chancellor,Lord Chancellor is senior Cabinet.
Deputy Leader of the House of Lords,16,1967,2024,senior,True,contains:leader of the house of lords,Senior Cabinet post.
Minister without Portfolio (Cabinet Office),17,2010,2024,senior,True,contains:minister without portfolio,Senior Cabinet post.
Chancellor of the Exchequer,18,1964,2024,senior,True,contains:chancellor of the exchequer,Chancellor is senior Cabinet.
Secretary of State for Work and Pensions,19,2001,2025,senior,True,contains:secretary of state,Secretary of State is senior Cabinet by definition.
Chancellor of the Duchy of Lancaster,21,1970,2025,senior,True,contains:chancellor of the duchy of lancaster,Senior Cabinet post.
